address,type,date_notice,notice_number,district,neighborhood,pdf_path,text_path
419 E 31ST,Interior,2024-07-12,2408115A,,ABELL,,
3004 VINEYARD,Exterior,2025-08-20,2555822A,NORTHERN,ABELL,pdf\ABELL\2555822A.pdf,text\ABELL\2555822A.txt
2946 GREENMOUNT,Interior/Exterior,2025-03-26,2488126A,NORTHERN,ABELL,pdf\ABELL\2488126A.pdf,text\ABELL\2488126A.txt
420 MERRYMAN,Vacant,2024-01-29,2342686A,NORTHERN,ABELL,,
3201 BARCLAY,Exterior,2021-04-23,1987938A,NORTHERN,ABELL,,
403 E 31ST,Exterior,2012-10-05,895239A,NORTHERN,ABELL,,
416 E 30TH,Exterior,2025-04-23,2499162A,NORTHERN,ABELL,pdf\ABELL\2499162A.pdf,text\ABELL\2499162A.txt
3118 GREENMOUNT,Exterior,2025-04-02,2491606A,NORTHERN,ABELL,pdf\ABELL\2491606A.pdf,text\ABELL\2491606A.txt
3026 GREENMOUNT,Vacant,2021-04-05,1983069A,NORTHERN,ABELL,,
2920 GREENMOUNT,Exterior,2025-03-21,2487743A,NORTHERN,ABELL,pdf\ABELL\2487743A.pdf,text\ABELL\2487743A.txt
3033 BARCLAY,Exterior,2025-05-05,2502888A,NORTHERN,ABELL,pdf\ABELL\2502888A.pdf,text\ABELL\2502888A.txt
3019 BARCLAY,Exterior,2025-05-09,2507178A,NORTHERN,ABELL,pdf\ABELL\2507178A.pdf,text\ABELL\2507178A.txt
3122 GREENMOUNT,Exterior,2023-08-24,2292071A,NORTHERN,ABELL,,
3004 VINEYARD,Exterior,2023-08-15,2286563A,NORTHERN,ABELL,,
2900 GREENMOUNT,Exterior,2024-07-15,2409071A,NORTHERN,ABELL,,
3109 BARCLAY,Exterior,2024-07-21,2412564A,NORTHERN,ABELL,,
3012 VINEYARD,Exterior,2024-01-30,2343989A,NORTHERN,ABELL,,
3020 VINEYARD,Exterior,2024-03-18,2357306A,NORTHERN,ABELL,,
2938 GREENMOUNT,Exterior,2025-03-26,2488165A,NORTHERN,ABELL,pdf\ABELL\2488165A.pdf,text\ABELL\2488165A.txt
403 E 31ST,Exterior,2019-03-17,1771698A,NORTHERN,ABELL,,
3010 GREENMOUNT,Exterior,2021-09-03,2035529A,NORTHERN,ABELL,,
